connection,panel,receiver,entry_xyz_mm,direction_xyz,reserve_diameter_mm,reserve_depth_mm,missing_receiver_volume_mm3,intersecting_other_fasteners,passes_nominal_reserve
vertical_panel_upper_right_1_3,main_upper_right,base_principal_right_1,"[430.0, 1266.1279415029185, 1783.3671165201981]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_upper_right_1_4,main_upper_right,base_principal_right_1,"[430.0, 1471.3057465148618, 2027.888502763776]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_lower_right_2_1,main_lower_right,base_principal_right_2,"[830.0, 19.634208798781536, 297.85373242387595]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_lower_right_2_2,main_lower_right,base_principal_right_2,"[830.0, 225.3262438984741, 542.9879542219489]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_lower_right_2_3,main_lower_right,base_principal_right_2,"[830.0, 482.4412877730898, 849.4057314695401]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_lower_right_2_4,main_lower_right,base_principal_right_2,"[830.0, 687.6190927850331, 1093.927117713118]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_upper_right_2_1,main_upper_right,base_principal_right_2,"[830.0, 803.3208625286102, 1231.815117474534]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_upper_right_2_2,main_upper_right,base_principal_right_2,"[830.0, 1009.0128976283028, 1476.949339272607]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_upper_right_2_3,main_upper_right,base_principal_right_2,"[830.0, 1266.1279415029185, 1783.3671165201981]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
vertical_panel_upper_right_2_4,main_upper_right,base_principal_right_2,"[830.0, 1471.3057465148618, 2027.888502763776]","[0.0, -0.766044443118978, 0.6427876096865393]",12.1412,17.0,0.0,[],True
