connection,kind,members,length_mm,length_in,diameter_mm,diameter_in,grip_mm,grip_in,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,status
clip_timber_top_left_2_beam_1,screw,clip_timber_top_left_2 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-118.44274,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_2_beam_2,screw,clip_timber_top_left_2 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-112.09274,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_2_beam_3,screw,clip_timber_top_left_2 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-118.44274,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_2_upright_1,screw,clip_timber_top_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_2_upright_2,screw,clip_timber_top_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_left_2_upright_3,screw,clip_timber_top_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_1_beam_1,screw,clip_timber_top_right_1 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,80.34273999999999,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_1_beam_2,screw,clip_timber_top_right_1 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,73.99274,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_1_beam_3,screw,clip_timber_top_right_1 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,80.34273999999999,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_1_upright_1,screw,clip_timber_top_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,1390.7352467286478,2129.445246197717,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_1_upright_2,screw,clip_timber_top_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,1415.8398386899714,2100.0906560548547,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_1_upright_3,screw,clip_timber_top_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,1449.1078332943139,2080.4648303396025,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_2_beam_1,screw,clip_timber_top_right_2 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1138.8572600000002,1470.536765232239,2106.0028369620813,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_2_beam_2,screw,clip_timber_top_right_2 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1145.2072600000001,1441.350471949406,2130.4930448911387,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_2_beam_3,screw,clip_timber_top_right_2 + base_rail_top,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1138.8572600000002,1412.164178666573,2154.983252820196,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_2_upright_1,screw,clip_timber_top_right_2 + base_side_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1178.5447600000002,1449.1078332943139,2080.4648303396025,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_2_upright_2,screw,clip_timber_top_right_2 + base_side_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1178.5447600000002,1415.8398386899714,2100.0906560548547,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_top_right_2_upright_3,screw,clip_timber_top_right_2 + base_side_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1178.5447600000002,1390.7352467286478,2129.445246197717,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_1_beam_1,screw,clip_timber_mid_lower_left_1 + base_rail_mid_lower_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1138.8572600000002,628.4775249367444,1221.0218677695382,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_1_beam_2,screw,clip_timber_mid_lower_left_1 + base_rail_mid_lower_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1145.2072600000001,657.6638182195774,1196.5316598404809,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_1_beam_3,screw,clip_timber_mid_lower_left_1 + base_rail_mid_lower_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1138.8572600000002,686.8501115024103,1172.0414519114236,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_1_upright_1,screw,clip_timber_mid_lower_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,607.0485929988193,1195.4838611470593,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_1_upright_2,screw,clip_timber_mid_lower_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,632.1531849601428,1166.1292710041964,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_1_upright_3,screw,clip_timber_mid_lower_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,665.4211795644852,1146.5034452889447,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_2_beam_1,screw,clip_timber_mid_lower_left_2 + base_rail_mid_lower_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-118.44274,686.8501115024103,1172.0414519114236,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_2_beam_2,screw,clip_timber_mid_lower_left_2 + base_rail_mid_lower_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-112.09274,657.6638182195774,1196.5316598404809,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_2_beam_3,screw,clip_timber_mid_lower_left_2 + base_rail_mid_lower_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-118.44274,628.4775249367444,1221.0218677695382,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_2_upright_1,screw,clip_timber_mid_lower_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,665.4211795644852,1146.5034452889447,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_2_upright_2,screw,clip_timber_mid_lower_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,632.1531849601428,1166.1292710041964,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_left_2_upright_3,screw,clip_timber_mid_lower_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,607.0485929988193,1195.4838611470593,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_1_beam_1,screw,clip_timber_mid_lower_right_1 + base_rail_mid_lower_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,80.34273999999999,628.4775249367444,1221.0218677695382,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_1_beam_2,screw,clip_timber_mid_lower_right_1 + base_rail_mid_lower_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,73.99274,657.6638182195774,1196.5316598404809,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_1_beam_3,screw,clip_timber_mid_lower_right_1 + base_rail_mid_lower_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,80.34273999999999,686.8501115024103,1172.0414519114236,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_1_upright_1,screw,clip_timber_mid_lower_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,607.0485929988193,1195.4838611470593,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_1_upright_2,screw,clip_timber_mid_lower_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,632.1531849601428,1166.1292710041964,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_1_upright_3,screw,clip_timber_mid_lower_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,665.4211795644852,1146.5034452889447,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_2_beam_1,screw,clip_timber_mid_lower_right_2 + base_rail_mid_lower_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1138.8572600000002,686.8501115024103,1172.0414519114236,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_2_beam_2,screw,clip_timber_mid_lower_right_2 + base_rail_mid_lower_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1145.2072600000001,657.6638182195774,1196.5316598404809,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_2_beam_3,screw,clip_timber_mid_lower_right_2 + base_rail_mid_lower_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1138.8572600000002,628.4775249367444,1221.0218677695382,0.0,0.6427876096865427,0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_2_upright_1,screw,clip_timber_mid_lower_right_2 + base_side_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1178.5447600000002,665.4211795644852,1146.5034452889447,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_2_upright_2,screw,clip_timber_mid_lower_right_2 + base_side_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1178.5447600000002,632.1531849601428,1166.1292710041964,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_lower_right_2_upright_3,screw,clip_timber_mid_lower_right_2 + base_side_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,1178.5447600000002,607.0485929988193,1195.4838611470593,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_1_beam_1,screw,clip_timber_mid_upper_left_1 + base_rail_mid_upper_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1138.8572600000002,739.1154805840754,1234.3288932827602,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_1_beam_2,screw,clip_timber_mid_upper_left_1 + base_rail_mid_upper_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1145.2072600000001,709.9291873012425,1258.8191012118175,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_1_beam_3,screw,clip_timber_mid_upper_left_1 + base_rail_mid_upper_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1138.8572600000002,680.7428940184095,1283.3093091408748,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_1_upright_1,screw,clip_timber_mid_upper_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,760.5444125220005,1259.866899905239,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_1_upright_2,screw,clip_timber_mid_upper_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,735.439820560677,1289.221490048102,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_1_upright_3,screw,clip_timber_mid_upper_left_1 + base_side_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-1178.5447600000002,702.1718259563346,1308.8473157633537,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_2_beam_1,screw,clip_timber_mid_upper_left_2 + base_rail_mid_upper_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-118.44274,680.7428940184095,1283.3093091408748,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_2_beam_2,screw,clip_timber_mid_upper_left_2 + base_rail_mid_upper_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-112.09274,709.9291873012425,1258.8191012118175,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_2_beam_3,screw,clip_timber_mid_upper_left_2 + base_rail_mid_upper_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-118.44274,739.1154805840754,1234.3288932827602,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_2_upright_1,screw,clip_timber_mid_upper_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,702.1718259563346,1308.8473157633537,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_2_upright_2,screw,clip_timber_mid_upper_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,735.439820560677,1289.221490048102,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_left_2_upright_3,screw,clip_timber_mid_upper_left_2 + base_principal_left,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,-78.75524,760.5444125220005,1259.866899905239,1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_right_1_beam_1,screw,clip_timber_mid_upper_right_1 + base_rail_mid_upper_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,80.34273999999999,739.1154805840754,1234.3288932827602,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_right_1_beam_2,screw,clip_timber_mid_upper_right_1 + base_rail_mid_upper_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,73.99274,709.9291873012425,1258.8191012118175,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_right_1_beam_3,screw,clip_timber_mid_upper_right_1 + base_rail_mid_upper_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,80.34273999999999,680.7428940184095,1283.3093091408748,-0.0,-0.6427876096865427,-0.7660444431189752,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
clip_timber_mid_upper_right_1_upright_1,screw,clip_timber_mid_upper_right_1 + base_principal_right,38.1,1.5000000000000002,6.35,0.25,0.0,0.0,40.65524,760.5444125220005,1259.866899905239,-1.0,-0.0,-0.0,"Simpson SDS25112, separately purchased; manufacturer nominal underhead/head geometry; simplified unthreaded shaft; no pilot instruction or capacity assignment"
