part,kind,dimension_1_mm,dimension_2_mm,dimension_3_mm,description
base_rail_bottom_right,part,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_service_lower_right,part,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
base_rail_service_upper_right,part,1092.0500000000002,139.7,38.1,"Independent square-cut single 2x6 horizontal rail; grain X; no inherited service pockets; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter; enclosed round strand passage, provisional diameter"
clip_single_top_left_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_single_top_right_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_timber_header_outer_left,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_timber_header_outer_right,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_split_top_center_left,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_split_base_center_left,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_split_header_center_left,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_split_top_center_right,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_split_base_center_right,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_split_header_center_right,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_angle_base_left,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_angle_base_right,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_bottom_left_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_bottom_left_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_lower_left_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_lower_left_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_upper_left_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_upper_left_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_bottom_right_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_bottom_right_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_lower_right_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_lower_right_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_upper_right_1,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
clip_horizontal_upper_right_2,part,101.6,53.35524,53.35524,"Purchased ML24Z; six separately purchased SDS25112 screws; Manufacturer nominal geometry; actual fit, installation and resistance unqualified; NOT build-ready"
light_A1,light,12.699999999999932,31.34103482513763,29.177107043189352,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A2,light,12.699999999999932,31.34103482513764,29.17710704318938,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A3,light,12.699999999999932,31.341034825137598,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A4,light,12.699999999999932,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A5,light,12.699999999999932,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A6,light,12.699999999999932,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A7,light,12.699999999999932,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A8,light,12.699999999999932,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A9,light,12.699999999999932,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A10,light,12.699999999999932,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A11,light,12.699999999999932,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_A12,light,12.699999999999932,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B1,light,12.700000000000045,31.34103482513763,29.177107043189352,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B2,light,12.700000000000045,31.34103482513764,29.17710704318938,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B3,light,12.700000000000045,31.341034825137598,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B4,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B5,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B6,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B7,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B8,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B9,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B10,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B11,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_B12,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C1,light,12.700000000000045,31.34103482513763,29.177107043189352,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C2,light,12.700000000000045,31.34103482513764,29.17710704318938,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C3,light,12.700000000000045,31.341034825137598,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C4,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C5,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C6,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C7,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C8,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C9,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C10,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C11,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_C12,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D1,light,12.700000000000045,31.34103482513763,29.177107043189352,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D2,light,12.700000000000045,31.34103482513764,29.17710704318938,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D3,light,12.700000000000045,31.341034825137598,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D4,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D5,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D6,light,12.700000000000045,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D7,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D8,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D9,light,12.700000000000045,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D10,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D11,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_D12,light,12.700000000000045,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E1,light,12.699999999999989,31.34103482513763,29.177107043189352,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E2,light,12.699999999999989,31.34103482513764,29.17710704318938,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E3,light,12.699999999999989,31.341034825137598,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E4,light,12.699999999999989,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E5,light,12.699999999999989,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E6,light,12.699999999999989,31.341034825137626,29.177107043189267,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E7,light,12.699999999999989,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E8,light,12.699999999999989,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E9,light,12.699999999999989,31.341034825137626,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E10,light,12.699999999999989,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E11,light,12.699999999999989,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_E12,light,12.699999999999989,31.34103482513774,29.177107043189608,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_F1,light,12.700000000000001,31.34103482513763,29.177107043189352,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
light_F2,light,12.700000000000001,31.34103482513764,29.17710704318938,"Provisional light envelope; unknown mass excluded; Enclosed provisional 25.4 mm round strand passages; measured maximum harness diameter 12.7 mm; lights installed after panels; feeding access, bore residual sections, connections and stability unqualified; NOT build-ready"
