part,layers,dimension_1_mm,dimension_2_mm,dimension_3_mm,dimension_1_in,dimension_2_in,dimension_3_in,description
rib_1_seam_left,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_1_seam_left,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_1_seam_right,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_1_seam_right,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_1_mid_left,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_1_mid_left,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_1_mid_right,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_1_mid_right,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rear_cross_2,1,2438.4,88.9,38.1,96.0,3.5,1.5,2x4 rear crossmember; bolted angle interfaces
rib_2_seam_left,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_2_seam_left,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_2_seam_right,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_2_seam_right,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_2_mid_left,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_2_mid_left,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_2_mid_right,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_2_mid_right,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rear_cross_3,1,2438.4,88.9,38.1,96.0,3.5,1.5,2x4 rear crossmember; bolted angle interfaces
rib_3_seam_left,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_3_seam_left,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_3_seam_right,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_3_seam_right,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_3_mid_left,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_3_mid_left,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
rib_3_mid_right,1,140.75,88.9,38.1,5.5413,3.5,1.5,2x4 lumber normal rib; front permanent screw and detachable rear angle; end-grain capacity unresolved
angle_rib_3_mid_right,1,80,80,88.9,3.1496,3.1496,3.5,"STEEL custom 80x80x6 angle, 88.9 long; detachable rib/beam interface; capacity unresolved"
