part,family,axis_labels,axes_world,origin_world_mm,extents_mm,extents_in,datum_note
leg_left_inner,side_profile,"[""Y"", ""Z"", ""X""]","[[0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [1.0, 0.0, 0.0]]","[-1238.2500000000005, 772.7921202358981, -7.958078640513122e-13]","[727.5392893581999, 1782.1991070973563, 19.050000000000182]","[28.643279108590548, 70.16531917706128, 0.7500000000000072]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
leg_left_outer,side_profile,"[""Y"", ""Z"", ""X""]","[[0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [1.0, 0.0, 0.0]]","[-1257.3000000000002, 772.7921202358981, -7.958078640513122e-13]","[727.5392893581999, 1782.1991070973563, 19.049999999999955]","[28.643279108590548, 70.16531917706128, 0.7499999999999982]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
leg_right_inner,side_profile,"[""Y"", ""Z"", ""X""]","[[0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [1.0, 0.0, 0.0]]","[1219.2000000000003, 772.7921202358981, -7.958078640513122e-13]","[727.5392893581999, 1782.1991070973563, 19.050000000000182]","[28.643279108590548, 70.16531917706128, 0.7500000000000072]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
leg_right_outer,side_profile,"[""Y"", ""Z"", ""X""]","[[0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [1.0, 0.0, 0.0]]","[1238.25, 772.7921202358981, -7.958078640513122e-13]","[727.5392893581999, 1782.1991070973563, 19.050000000000182]","[28.643279108590548, 70.16531917706128, 0.7500000000000072]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
timber_bottom_backing,inclined,"[""X"", ""S"", ""N""]","[[1.0, 0.0, 0.0], [0.0, 0.6427876096865427, 0.7660444431189752], [0.0, -0.766044443118978, 0.6427876096865393]]","[-1181.1000000000001, -31.78879997614159, 236.57017697435776]","[2362.2000000000003, 88.9, 38.10000000000005]","[93.00000000000001, 3.5000000000000004, 1.500000000000002]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
timber_base_gusset_left,side_profile,"[""Y"", ""Z"", ""X""]","[[0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [1.0, 0.0, 0.0]]","[-1238.25, -321.75, 20.0]","[285.75, 460.0, 19.049999999999955]","[11.25, 18.11023622047244, 0.7499999999999982]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
timber_base_gusset_right,side_profile,"[""Y"", ""Z"", ""X""]","[[0.0, 1.0, 0.0], [0.0, 0.0, 1.0], [1.0, 0.0, 0.0]]","[1219.2, -321.75, 20.0]","[285.75, 460.0, 19.049999999999955]","[11.25, 18.11023622047244, 0.7499999999999982]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_post_center_left_front,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-127.0, -175.7, 0.0]","[88.9, 139.7, 186.9]","[3.5000000000000004, 5.5, 7.358267716535433]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_post_center_left_rear,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[-127.0, -321.75, 0.0]","[88.9, 139.7, 186.9]","[3.5000000000000004, 5.5, 7.358267716535433]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_post_center_right_front,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, -175.7, 0.0]","[88.9, 139.7, 186.9]","[3.5000000000000004, 5.5, 7.358267716535433]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
base_post_center_right_rear,world,"[""X"", ""Y"", ""Z""]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, -321.75, 0.0]","[88.9, 139.7, 186.9]","[3.5000000000000004, 5.5, 7.358267716535433]",Virtual oriented raw-BRep envelope minimum corner; verify actual edge/face witnesses before marking stock
