connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
panel_10,screw,main_lower_left + panel_edge_left_lower,-1169.2,493.94094121365936,834.7088016568069,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_11,screw,main_lower_left + panel_seam_vertical_lower,-50.0,254.13831029326778,548.9231547438868,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_12,screw,main_lower_left + panel_seam_vertical_lower,-50.0,493.94094121365936,834.7088016568069,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_13,screw,main_lower_right + panel_edge_bottom,50.0,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_14,screw,main_lower_right + panel_edge_bottom,423.06666666666666,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_15,screw,main_lower_right + panel_edge_bottom,796.1333333333333,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_16,screw,main_lower_right + panel_edge_bottom,1169.2,14.3356793728762,263.13750783096674,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_17,screw,main_lower_right + panel_seam_horizontal,50.0,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_18,screw,main_lower_right + panel_seam_horizontal,423.06666666666666,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_19,screw,main_lower_right + panel_seam_horizontal,807.1333333333333,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_20,screw,main_lower_right + panel_seam_horizontal,1169.2,733.743572134051,1120.4944485697267,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_21,screw,main_lower_right + panel_seam_vertical_lower,50.0,254.13831029326778,548.9231547438868,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_22,screw,main_lower_right + panel_seam_vertical_lower,50.0,493.94094121365936,834.7088016568069,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_23,screw,main_lower_right + panel_edge_right_lower,1169.2,254.13831029326778,548.9231547438868,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_24,screw,main_lower_right + panel_edge_right_lower,1169.2,493.94094121365936,834.7088016568069,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_25,screw,main_upper_left + panel_seam_horizontal,-1169.2,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_26,screw,main_upper_left + panel_seam_horizontal,-793.1333333333334,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_27,screw,main_upper_left + panel_seam_horizontal,-445.0666666666667,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_28,screw,main_upper_left + panel_seam_horizontal,-50.0,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_29,screw,main_upper_left + panel_edge_top,-1169.2,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_30,screw,main_upper_left + panel_edge_top,-796.1333333333334,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_31,screw,main_upper_left + panel_edge_top,-423.0666666666667,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_32,screw,main_upper_left + panel_edge_top,-50.0,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_33,screw,main_upper_left + panel_edge_left_upper,-1169.2,1037.8249640230965,1482.8845397945447,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_34,screw,main_upper_left + panel_edge_left_upper,-1169.2,1277.627594943488,1768.6701867074648,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_35,screw,main_upper_left + panel_seam_vertical_upper,-50.0,1037.8249640230965,1482.8845397945447,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_36,screw,main_upper_left + panel_seam_vertical_upper,-50.0,1277.627594943488,1768.6701867074648,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_37,screw,main_upper_right + panel_seam_horizontal,50.0,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_38,screw,main_upper_right + panel_seam_horizontal,423.06666666666666,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_39,screw,main_upper_right + panel_seam_horizontal,807.1333333333333,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_40,screw,main_upper_right + panel_seam_horizontal,1169.2,798.0223331027049,1197.0988928816246,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_41,screw,main_upper_right + panel_edge_top,50.0,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_42,screw,main_upper_right + panel_edge_top,423.06666666666666,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_43,screw,main_upper_right + panel_edge_top,796.1333333333333,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_44,screw,main_upper_right + panel_edge_top,1169.2,1517.4302258638795,2054.455833620385,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_45,screw,main_upper_right + panel_seam_vertical_upper,50.0,1037.8249640230965,1482.8845397945447,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_46,screw,main_upper_right + panel_seam_vertical_upper,50.0,1277.627594943488,1768.6701867074648,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_47,screw,main_upper_right + panel_edge_right_upper,1169.2,1037.8249640230965,1482.8845397945447,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_48,screw,main_upper_right + panel_edge_right_upper,1169.2,1277.627594943488,1768.6701867074648,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_49,screw,main_lower_left + mid_lower_left,-519.2,142.89320131018405,416.3463964547623,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_50,screw,main_lower_left + mid_lower_left,-519.2,335.7294842161458,646.1597293904557,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_51,screw,main_lower_left + mid_lower_left,-519.2,528.5657671221076,875.973062326149,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_52,screw,main_lower_left + mid_lower_left,-519.2,657.1232890594155,1029.1819509499446,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_53,screw,main_lower_right + mid_lower_right,680.8,142.89320131018405,416.3463964547623,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_54,screw,main_lower_right + mid_lower_right,680.8,335.7294842161458,646.1597293904557,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_55,screw,main_lower_right + mid_lower_right,680.8,528.5657671221076,875.973062326149,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_56,screw,main_lower_right + mid_lower_right,680.8,657.1232890594155,1029.1819509499446,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
panel_57,screw,main_upper_left + mid_upper_left,-519.2,926.5798550400127,1350.3077815054203,0.0,-0.7660444431189781,0.6427876096865394,50.8,2.0,4.3942,0.0,PROVISIONAL — top-joint end-distance revision; extended steel resistance unresolved; candidate FEA not run; SELECTED GRK R4 Climatek #9 x 2 in; 103099; dimensional inspection envelope only; hex rotation bounded by cylinder; screw head/seat allowances are project assumptions; receiving holes and resistance require verification
