feature,label,x_mm,y_mm,diameter_mm,note
T-nut,H5,1600.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,H6,1600.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,H7,1600.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,H8,1600.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,H9,1600.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,H10,1600.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,H11,1600.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,H12,1600.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,I1,1800.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,I2,1800.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,I3,1800.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,I4,1800.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,I5,1800.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,I6,1800.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,I7,1800.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,I8,1800.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,I9,1800.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,I10,1800.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,I11,1800.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,I12,1800.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,J1,2000.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,J2,2000.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,J3,2000.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,J4,2000.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,J5,2000.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,J6,2000.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,J7,2000.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,J8,2000.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,J9,2000.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,J10,2000.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,J11,2000.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,J12,2000.000,2280.000,11.112,Escape 3/8-16: offcut test required
T-nut,K1,2200.000,80.000,11.112,Escape 3/8-16: offcut test required
T-nut,K2,2200.000,280.000,11.112,Escape 3/8-16: offcut test required
T-nut,K3,2200.000,480.000,11.112,Escape 3/8-16: offcut test required
T-nut,K4,2200.000,680.000,11.112,Escape 3/8-16: offcut test required
T-nut,K5,2200.000,880.000,11.112,Escape 3/8-16: offcut test required
T-nut,K6,2200.000,1080.000,11.112,Escape 3/8-16: offcut test required
T-nut,K7,2200.000,1280.000,11.112,Escape 3/8-16: offcut test required
T-nut,K8,2200.000,1480.000,11.112,Escape 3/8-16: offcut test required
T-nut,K9,2200.000,1680.000,11.112,Escape 3/8-16: offcut test required
T-nut,K10,2200.000,1880.000,11.112,Escape 3/8-16: offcut test required
T-nut,K11,2200.000,2080.000,11.112,Escape 3/8-16: offcut test required
T-nut,K12,2200.000,2280.000,11.112,Escape 3/8-16: offcut test required
LED,A1,200.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A2,200.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A3,200.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A4,200.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A5,200.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A6,200.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A7,200.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A8,200.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A9,200.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A10,200.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A11,200.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,A12,200.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B1,400.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B2,400.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B3,400.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B4,400.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B5,400.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B6,400.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B7,400.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B8,400.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B9,400.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B10,400.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B11,400.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,B12,400.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C1,600.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C2,600.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C3,600.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C4,600.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C5,600.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C6,600.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C7,600.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C8,600.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C9,600.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C10,600.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C11,600.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,C12,600.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D1,800.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D2,800.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D3,800.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D4,800.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D5,800.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D6,800.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D7,800.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D8,800.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D9,800.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D10,800.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D11,800.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,D12,800.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E1,1000.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E2,1000.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E3,1000.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E4,1000.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E5,1000.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E6,1000.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E7,1000.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E8,1000.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E9,1000.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E10,1000.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E11,1000.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,E12,1000.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F1,1200.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F2,1200.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F3,1200.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F4,1200.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F5,1200.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F6,1200.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F7,1200.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F8,1200.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F9,1200.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F10,1200.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F11,1200.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,F12,1200.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G1,1400.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G2,1400.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G3,1400.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G4,1400.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G5,1400.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G6,1400.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G7,1400.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G8,1400.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G9,1400.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G10,1400.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G11,1400.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,G12,1400.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H1,1600.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H2,1600.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H3,1600.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H4,1600.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H5,1600.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H6,1600.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H7,1600.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H8,1600.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H9,1600.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H10,1600.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H11,1600.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,H12,1600.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I1,1800.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I2,1800.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I3,1800.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I4,1800.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I5,1800.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I6,1800.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I7,1800.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I8,1800.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I9,1800.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I10,1800.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I11,1800.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,I12,1800.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J1,2000.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J2,2000.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J3,2000.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J4,2000.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J5,2000.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J6,2000.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J7,2000.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J8,2000.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J9,2000.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J10,2000.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J11,2000.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,J12,2000.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K1,2200.000,-20.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K2,2200.000,180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K3,2200.000,380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K4,2200.000,580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K5,2200.000,780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K6,2200.000,980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K7,2200.000,1180.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K8,2200.000,1380.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K9,2200.000,1580.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K10,2200.000,1780.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K11,2200.000,1980.000,13.000,MoonBoard LED kit: verify supplied guide
LED,K12,2200.000,2180.000,13.000,MoonBoard LED kit: verify supplied guide
kicker T-nut,1,100.000,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,2,348.560,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,3,597.120,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,4,845.680,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,5,1094.240,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,6,1342.800,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,7,1591.360,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,8,1839.920,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,9,2088.480,-75.000,11.112,Escape 3/8-16: offcut test required
kicker T-nut,10,2337.040,-75.000,11.112,Escape 3/8-16: offcut test required
