connection,members,quantity,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,clearance_hole_mm,status
analysis_panel_screw_11,main_lower_left + panel_seam_vertical_lower,1,-50.000,253.942,549.088,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_12,main_lower_left + panel_seam_vertical_lower,1,-50.000,493.745,834.874,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_13,main_lower_right + panel_edge_bottom,1,50.000,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_14,main_lower_right + panel_edge_bottom,1,423.067,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_15,main_lower_right + panel_edge_bottom,1,796.133,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_16,main_lower_right + panel_edge_bottom,1,1169.200,14.139,263.302,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_17,main_lower_right + panel_seam_horizontal,1,50.000,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_18,main_lower_right + panel_seam_horizontal,1,423.067,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_19,main_lower_right + panel_seam_horizontal,1,807.133,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_20,main_lower_right + panel_seam_horizontal,1,1169.200,733.547,1120.659,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_21,main_lower_right + panel_seam_vertical_lower,1,50.000,253.942,549.088,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_22,main_lower_right + panel_seam_vertical_lower,1,50.000,493.745,834.874,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_23,main_lower_right + panel_edge_right_lower,1,1169.200,253.942,549.088,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_24,main_lower_right + panel_edge_right_lower,1,1169.200,493.745,834.874,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_25,main_upper_left + panel_seam_horizontal,1,-1169.200,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_26,main_upper_left + panel_seam_horizontal,1,-793.133,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_27,main_upper_left + panel_seam_horizontal,1,-445.067,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_28,main_upper_left + panel_seam_horizontal,1,-50.000,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_29,main_upper_left + panel_edge_top,1,-1169.200,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_30,main_upper_left + panel_edge_top,1,-796.133,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_31,main_upper_left + panel_edge_top,1,-423.067,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_32,main_upper_left + panel_edge_top,1,-50.000,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_33,main_upper_left + panel_edge_left_upper,1,-1169.200,1037.629,1483.049,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_34,main_upper_left + panel_edge_left_upper,1,-1169.200,1277.431,1768.835,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_35,main_upper_left + panel_seam_vertical_upper,1,-50.000,1037.629,1483.049,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_36,main_upper_left + panel_seam_vertical_upper,1,-50.000,1277.431,1768.835,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_37,main_upper_right + panel_seam_horizontal,1,50.000,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_38,main_upper_right + panel_seam_horizontal,1,423.067,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_39,main_upper_right + panel_seam_horizontal,1,807.133,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_40,main_upper_right + panel_seam_horizontal,1,1169.200,797.826,1197.264,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_41,main_upper_right + panel_edge_top,1,50.000,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_42,main_upper_right + panel_edge_top,1,423.067,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_43,main_upper_right + panel_edge_top,1,796.133,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_44,main_upper_right + panel_edge_top,1,1169.200,1517.234,2054.621,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_45,main_upper_right + panel_seam_vertical_upper,1,50.000,1037.629,1483.049,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_46,main_upper_right + panel_seam_vertical_upper,1,50.000,1277.431,1768.835,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_47,main_upper_right + panel_edge_right_upper,1,1169.200,1037.629,1483.049,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_panel_screw_48,main_upper_right + panel_edge_right_upper,1,1169.200,1277.431,1768.835,0.0,-0.766044443118978,0.6427876096865393,50.8,2.0,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_left_1,box_side_left + leg_left,1,-1217.200,793.558,1554.349,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_left_2,box_side_left + leg_left,1,-1217.200,844.981,1615.633,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_left_3,box_side_left + leg_left,1,-1217.200,922.115,1707.558,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_left_4,box_side_left + leg_left,1,-1217.200,973.538,1768.842,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_left_1_1,box_side_left + cross_seat_left_1,1,-1259.300,53.013,656.246,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_left_1_1,rear_cross_1 + cross_seat_left_1,1,-1200.150,-15.878,729.717,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_left_1_2,box_side_left + cross_seat_left_1,1,-1259.300,83.867,693.016,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_left_1_2,rear_cross_1 + cross_seat_left_1,1,-1200.150,-0.451,748.102,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_left_2_1,box_side_left + cross_seat_left_2,1,-1259.300,579.585,1283.789,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_left_2_1,rear_cross_2 + cross_seat_left_2,1,-1200.150,510.694,1357.261,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_left_2_2,box_side_left + cross_seat_left_2,1,-1259.300,610.439,1320.560,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_left_2_2,rear_cross_2 + cross_seat_left_2,1,-1200.150,526.121,1375.646,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_left_3_1,box_side_left + cross_seat_left_3,1,-1259.300,1081.474,1881.917,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_left_3_1,rear_cross_3 + cross_seat_left_3,1,-1200.150,1012.583,1955.388,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_left_3_2,box_side_left + cross_seat_left_3,1,-1259.300,1112.327,1918.687,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_left_3_2,rear_cross_3 + cross_seat_left_3,1,-1200.150,1028.010,1973.773,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_left_1,box_side_left + panel_edge_left_lower,1,-1257.300,50.036,363.722,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_left_2,box_side_left + panel_edge_left_lower,1,-1257.300,371.430,746.744,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_left_3,box_side_left + panel_edge_left_lower,1,-1257.300,596.406,1014.860,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_left_4,box_side_left + panel_edge_left_upper,1,-1257.300,917.799,1397.882,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_left_5,box_side_left + panel_edge_left_upper,1,-1257.300,1142.775,1665.998,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_left_6,box_side_left + panel_edge_left_upper,1,-1257.300,1399.890,1972.415,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_batten_end_left_1,box_side_left + panel_edge_bottom,1,-1257.300,-23.884,275.627,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_batten_end_left_2,box_side_left + panel_seam_horizontal,1,-1257.300,714.807,1155.965,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_batten_end_left_3,box_side_left + panel_seam_horizontal,1,-1257.300,759.802,1209.588,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_batten_end_left_4,box_side_left + panel_edge_top,1,-1257.300,1485.638,2074.606,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_top_end_left_1,box_side_left + box_top,1,-1257.300,1446.735,2154.179,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_top_end_left_2,box_side_left + box_top,1,-1257.300,1370.131,2218.457,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_top_end_left_3,box_side_left + box_top,1,-1257.300,1308.847,2269.880,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cheek_splice_left_1,cheek_splice_left + kicker_cheek_left,1,-1181.100,-169.942,274.170,-1.0,0.0,0.0,63.5,2.5,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cheek_splice_left_2,cheek_splice_left + kicker_cheek_left,1,-1181.100,-254.207,344.877,-1.0,0.0,0.0,63.5,2.5,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cheek_splice_left_3,cheek_splice_left + box_side_left,1,-1181.100,-92.807,366.095,-1.0,0.0,0.0,63.5,2.5,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cheek_splice_left_4,cheek_splice_left + box_side_left,1,-1181.100,-177.072,436.802,-1.0,0.0,0.0,63.5,2.5,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_kicker_end_left_1,kicker_cheek_left + kicker_batten_bottom,1,-1257.300,-55.050,12.000,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_kicker_end_left_2,kicker_cheek_left + kicker_batten_top,1,-1257.300,-55.050,187.000,1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_right_1,box_side_right + leg_right,1,1217.200,793.558,1554.349,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_right_2,box_side_right + leg_right,1,1217.200,844.981,1615.633,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_right_3,box_side_right + leg_right,1,1217.200,922.115,1707.558,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_leg_wall_bolt_right_4,box_side_right + leg_right,1,1217.200,973.538,1768.842,1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_right_1_1,box_side_right + cross_seat_right_1,1,1259.300,53.013,656.246,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_right_1_1,rear_cross_1 + cross_seat_right_1,1,1200.150,-15.878,729.717,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_right_1_2,box_side_right + cross_seat_right_1,1,1259.300,83.867,693.016,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_right_1_2,rear_cross_1 + cross_seat_right_1,1,1200.150,-0.451,748.102,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_right_2_1,box_side_right + cross_seat_right_2,1,1259.300,579.585,1283.789,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_right_2_1,rear_cross_2 + cross_seat_right_2,1,1200.150,510.694,1357.261,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_right_2_2,box_side_right + cross_seat_right_2,1,1259.300,610.439,1320.560,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_right_2_2,rear_cross_2 + cross_seat_right_2,1,1200.150,526.121,1375.646,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_right_3_1,box_side_right + cross_seat_right_3,1,1259.300,1081.474,1881.917,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_right_3_1,rear_cross_3 + cross_seat_right_3,1,1200.150,1012.583,1955.388,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_seat_bolt_right_3_2,box_side_right + cross_seat_right_3,1,1259.300,1112.327,1918.687,-1.0,0.0,0.0,95.25,3.75,9.525,76.2,10,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_cross_screw_right_3_2,rear_cross_3 + cross_seat_right_3,1,1200.150,1028.010,1973.773,-0.0,0.766044443118978,-0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_right_1,box_side_right + panel_edge_right_lower,1,1257.300,50.036,363.722,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_right_2,box_side_right + panel_edge_right_lower,1,1257.300,371.430,746.744,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_right_3,box_side_right + panel_edge_right_lower,1,1257.300,596.406,1014.860,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_right_4,box_side_right + panel_edge_right_upper,1,1257.300,917.799,1397.882,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_right_5,box_side_right + panel_edge_right_upper,1,1257.300,1142.775,1665.998,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_edge_screw_right_6,box_side_right + panel_edge_right_upper,1,1257.300,1399.890,1972.415,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_batten_end_right_1,box_side_right + panel_edge_bottom,1,1257.300,-23.884,275.627,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
analysis_batten_end_right_2,box_side_right + panel_seam_horizontal,1,1257.300,714.807,1155.965,-1.0,0.0,0.0,88.9,3.5000000000000004,4.826,0.0,5.2 clearance / 3.2 pilot; 10 mm countersink,PROVISIONAL connection; strength and plywood edge fastening require review
